teamid,Stat,Value,Rank
53,winLeadSecondPer,0.815,22nd
53,winOppScoreFirst,0.265,23rd
53,winOutshootOpp,0.467,15th
53,winOutshotByOpp,0.5,15th
53,winScoreFirst,0.686,15th
53,wins,33,21st
4,evGGARatio,1.1418,5th
4,faceOffWinPercentage,54.5,1st
4,faceOffsLost,1779,1st
4,faceOffsTaken,3912,16th
4,faceOffsWon,2133,1st
4,gamesPlayed,68,
4,goalsAgainstPerGame,2.779,9th
4,goalsPerGame,3.338,5th
4,losses,20,5th
4,ot,7,19th
4,penaltyKillOpportunities,,17th
4,penaltyKillPercentage,82.0,11th
4,powerPlayGoals,47,7th
4,powerPlayGoalsAgainst,37,10th
4,powerPlayOpportunities,223,5th
4,powerPlayPercentage,21.1,10th
4,ptPctg,65.4,5th
4,pts,89,4th
4,savePctg,0.903,16th
4,shootingPctg,10.7,3rd
4,shotsAllowed,28.6471,1st
4,shotsPerGame,31.3235,17th
4,winLeadFirstPer,0.85,7th
4,winLeadSecondPer,0.935,5th
4,winOppScoreFirst,0.448,7th
4,winOutshootOpp,0.55,10th
4,winOutshotByOpp,0.654,10th
4,winScoreFirst,0.718,5th
4,wins,41,3rd
54,evGGARatio,1.0429,11th
54,faceOffWinPercentage,50.1,16th
54,faceOffsLost,2038,25th
54,faceOffsTaken,4081,3rd
54,faceOffsWon,2043,6th
54,gamesPlayed,69,
54,goalsAgainstPerGame,2.957,13th
54,goalsPerGame,3.13,14th
54,losses,24,12th
54,ot,8,12th
54,penaltyKillOpportunities,,22nd
54,penaltyKillPercentage,77.0,26th
54,powerPlayGoals,40,19th
54,powerPlayGoalsAgainst,49,27th
54,powerPlayOpportunities,188,25th
54,powerPlayPercentage,21.3,8th
54,ptPctg,59.4,10th
54,pts,82,10th
54,savePctg,0.9,23rd
54,shootingPctg,9.1,21st
54,shotsAllowed,29.5072,3rd
54,shotsPerGame,34.3478,1st
54,winLeadFirstPer,0.75,16th
54,winLeadSecondPer,0.882,11th
54,winOppScoreFirst,0.333,10th
54,winOutshootOpp,0.578,7th
54,winOutshotByOpp,0.55,7th
54,winScoreFirst,0.758,9th
54,wins,37,9th
5,evGGARatio,1.1136,7th
5,faceOffWinPercentage,48.5,25th
5,faceOffsLost,1983,21st
5,faceOffsTaken,3853,21st
5,faceOffsWon,1870,24th
5,gamesPlayed,67,
5,goalsAgainstPerGame,2.806,10th
5,goalsPerGame,3.194,10th
5,losses,22,7th
5,ot,6,23rd
5,penaltyKillOpportunities,,4th
5,penaltyKillPercentage,82.5,8th
5,powerPlayGoals,41,15th
5,powerPlayGoalsAgainst,32,4th
5,powerPlayOpportunities,200,17th
5,powerPlayPercentage,20.5,16th
5,ptPctg,62.7,7th
5,pts,84,7th
5,savePctg,0.906,14th
5,shootingPctg,10,13th
5,shotsAllowed,29.7463,5th
5,shotsPerGame,31.9552,11th
5,winLeadFirstPer,0.864,4th
5,winLeadSecondPer,0.857,15th
5,winOppScoreFirst,0.405,4th
5,winOutshootOpp,0.538,11th
5,winOutshotByOpp,0.652,11th
5,winScoreFirst,0.8,12th
5,wins,39,7th
6,evGGARatio,1.3333,2nd
6,faceOffWinPercentage,51.1,7th
6,faceOffsLost,1921,11th
6,faceOffsTaken,3929,14th
6,faceOffsWon,2008,9th
6,gamesPlayed,69,
6,goalsAgainstPerGame,2.42,1st
6,goalsPerGame,3.261,9th
6,losses,14,1st
6,ot,12,2nd
6,penaltyKillOpportunities,,21st
6,penaltyKillPercentage,84.0,3rd
6,powerPlayGoals,56,2nd
6,powerPlayGoalsAgainst,34,6th
6,powerPlayOpportunities,223,4th
6,powerPlayPercentage,25.1,2nd
6,ptPctg,71.0,1st
6,pts,98,1st
6,savePctg,0.919,3rd
6,shootingPctg,10.1,12th
6,shotsAllowed,29.9565,8th
6,shotsPerGame,32.1449,10th
6,winLeadFirstPer,0.75,15th
6,winLeadSecondPer,0.794,25th
6,winOppScoreFirst,0.621,1st
6,winOutshootOpp,0.61,3rd
6,winOutshotByOpp,0.64,3rd
6,winScoreFirst,0.625,8th
6,wins,43,1st
7,evGGARatio,0.9773,21st
7,faceOffWinPercentage,45.7,31st
7,faceOffsLost,2022,24th
7,faceOffsTaken,3725,29th
7,faceOffsWon,1703,31st
7,gamesPlayed,68,
7,goalsAgainstPerGame,3.132,23rd
7,goalsPerGame,2.809,21st
7,losses,31,26th
7,ot,8,17th
7,penaltyKillOpportunities,,6th
7,penaltyKillPercentage,74.5,31st
7,powerPlayGoals,36,22nd
7,powerPlayGoalsAgainst,47,26th
7,powerPlayOpportunities,193,22nd
7,powerPlayPercentage,18.6,19th
7,ptPctg,48.5,26th
7,pts,66,26th
7,savePctg,0.899,25th
7,shootingPctg,9.6,14th
7,shotsAllowed,31.0735,14th
7,shotsPerGame,29.3382,30th
7,winLeadFirstPer,0.667,24th
7,winLeadSecondPer,0.957,4th
7,winOppScoreFirst,0.235,28th
7,winOutshootOpp,0.387,26th
7,winOutshotByOpp,0.457,26th
7,winScoreFirst,0.618,24th
